time,stockid,StockID,StockName,date,price,open,close,high,low,vol,amount,cjbs,yclose,syl1,syl2,buy1,buy2,buy3,buy4,buy5,sale1,sale2,sale3,sale4,sale5,bc1,bc2,bc3,bc4,bc5,sc1,sc2,sc3,sc4,sc5,wb,lb,zmm,buy_vol,buy_amount,sale_vol,sale_amount,w_buy,w_sale,sectional_buy_vol,sectional_buy_amount,sectional_sale_vol,sectional_sale_amount,sectional_w_buy,sectional_w_sale,sectional_yclose,sectional_open,sectional_close,sectional_high,sectional_low,sectional_vol,sectional_amount,sectional_cjbs,sectional_wb,5min,10min,20min
2018-06-15 09:25:01,<NIL>,SH600637,东方明珠,43266.3923726852,16.06,16.06,16.06,16.06,16.06,26000,417560,23,0.0,0,0,16.06,16.05,16.04,16.03,16.02,16.08,16.1,16.12,16.18,16.19,100,7400,1100,800,2000,300,1300,900,3000,300,1.9655172413793103,0.734452307224274,3,13000,208780,13000,208780,11400,5800,13000,208780,13000,208780,299800,297700,16.08,16.06,16.06,16.06,16.06,26000,417560,23,1.00705408128989,16.156,16.1325182482,16.0481830417
2018-06-15 09:30:00,<NIL>,SH600637,东方明珠,43266.3958333333,16.05,16.05,16.05,16.05,16.05,2000,32101,5,16.06,0,0,16.05,16.04,16.03,16.02,16.01,16.08,16.1,16.12,16.14,16.18,5500,1100,2000,2000,1200,300,1300,900,500,3000,1.96666666666667,0.790948629379272,2,0,0,2000,32101,11800,6000,13000,208780,15000,240881,311600,303700,16.08,16.06,16.05,16.06,16.05,28000,449661,28,1.02601251234771,16.1561728395,16.1325454545,16.0477894737
2018-06-15 09:30:03,<NIL>,SH600637,东方明珠,43266.3958680556,16.06,16.06,16.06,16.06,16.06,17300,277536,29,16.05,0,0,16.06,16.03,16.02,16.0,15.98,16.1,16.12,16.14,16.16,16.17,5600,400,500,9000,7600,1400,900,500,3000,2600,2.75,1.27964186668396,1,17300,277536,0,0,23100,8400,30300,486316,15000,240881,334700,312100,16.08,16.06,16.06,16.1,16.0,45300,727197,57,1.07241268824095,16.1574074074,16.1324074074,16.0475191816
2018-06-15 09:30:05,<NIL>,SH600637,东方明珠,43266.3958912037,16.06,16.06,16.06,16.06,16.06,0,0,0,16.06,0,0,16.06,16.05,16.03,16.02,16.0,16.09,16.1,16.12,16.14,16.16,6700,600,400,500,9800,1500,1400,900,500,3000,2.46575342465753,1.27964186668396,0,0,0,0,0,18000,7300,30300,486316,15000,240881,352700,319400,16.08,16.06,16.06,16.1,16.0,45300,727197,57,1.10425798371947,16.1594736842,16.1328321678,16.0475990099
2018-06-15 09:30:08,<NIL>,SH600637,东方明珠,43266.3959259259,16.06,16.06,16.06,16.06,16.06,0,0,0,16.06,0,0,16.06,16.05,16.03,16.02,16.0,16.09,16.1,16.12,16.14,16.16,6700,600,400,500,9800,4300,1400,900,500,3000,1.7821782178217802,1.27964186668396,0,0,0,0,0,18000,10100,30300,486316,15000,240881,370700,329500,16.08,16.06,16.06,16.1,16.0,45300,727197,57,1.12503793626707,16.1607317073,16.1329310345,16.0474752475
2018-06-15 09:30:10,<NIL>,SH600637,东方明珠,43266.3959490741,16.06,16.06,16.06,16.06,16.06,600,9636,1,16.06,0,0,16.06,16.05,16.03,16.02,16.0,16.08,16.09,16.1,16.12,16.14,6100,600,400,500,9800,500,4300,1400,900,500,2.28947368421053,1.2965908050537098,2,0,0,600,9636,17400,7600,30300,486316,15600,250517,388100,337100,16.08,16.06,16.06,16.1,16.0,45900,736833,58,1.15129041827351,16.1607228916,16.1324452555,16.0451408604
2018-06-15 09:30:13,<NIL>,SH600637,东方明珠,43266.3959837963,16.06,16.06,16.06,16.06,16.06,0,0,0,16.06,0,0,16.07,16.06,16.05,16.03,16.02,16.08,16.09,16.1,16.12,16.14,1000,6100,600,400,500,500,2800,1400,900,500,1.40983606557377,1.2965908050537098,0,0,0,0,0,8600,6100,30300,486316,15600,250517,396700,343200,16.08,16.06,16.06,16.1,16.0,45900,736833,58,1.15588578088578,16.1634285714,16.1408064516,16.0412568651
2018-06-15 09:30:16,<NIL>,SH600637,东方明珠,43266.3960185185,16.06,16.06,16.06,16.06,16.06,0,0,0,16.06,0,0,16.07,16.06,16.05,16.03,16.02,16.08,16.09,16.1,16.12,16.14,1000,2100,600,400,500,500,2800,1400,900,500,0.754098360655738,1.2965908050537098,0,0,0,0,0,4600,6100,30300,486316,15600,250517,401300,349300,16.08,16.06,16.06,16.1,16.0,45900,736833,58,1.14886916690524,16.1622018349,16.1408450704,16.0412568651
2018-06-15 09:30:21,<NIL>,SH600637,东方明珠,43266.396076388904,16.07,16.07,16.07,16.07,16.07,1900,30546,4,16.06,0,0,16.07,16.06,16.05,16.03,16.02,16.09,16.1,16.12,16.14,16.16,100,2100,600,400,500,2500,1400,900,500,3000,0.44578313253012003,1.3502622842788703,2,0,0,1900,30546,3700,8300,30300,486316,17500,281063,405000,357600,16.08,16.06,16.07,16.1,16.0,47800,767379,62,1.13255033557047,16.1641666667,16.141,16.0408995617
2018-06-15 09:30:23,<NIL>,SH600637,东方明珠,43266.396099537,16.07,16.07,16.07,16.07,16.07,0,0,0,16.07,0,0,16.07,16.06,16.05,16.03,16.02,16.09,16.1,16.12,16.14,16.16,100,2500,600,400,500,2500,1400,900,500,3000,0.4939759036144579,1.3502622842788703,0,0,0,0,0,4100,8300,30300,486316,17500,281063,409100,365900,16.08,16.06,16.07,16.1,16.0,47800,767379,62,1.1180650450942902,16.1647413793,16.141,16.0408995617
2018-06-15 09:30:26,<NIL>,SH600637,东方明珠,43266.3961342593,16.07,16.07,16.07,16.07,16.07,0,0,0,16.07,0,0,16.07,16.06,16.05,16.03,16.02,16.09,16.1,16.12,16.14,16.16,900,2500,600,400,500,2500,1400,900,500,3000,0.5903614457831329,1.3502622842788703,0,0,0,0,0,4900,8300,30300,486316,17500,281063,414000,374200,16.08,16.06,16.07,16.1,16.0,47800,767379,62,1.1063602351683601,16.1647413793,16.1353271028,16.041576694
2018-06-15 09:30:32,<NIL>,SH600637,东方明珠,43266.3962037037,16.07,16.07,16.07,16.07,16.07,0,0,0,16.07,0,0,16.07,16.06,16.05,16.03,16.02,16.09,16.1,16.12,16.14,16.16,900,2500,600,400,1500,2500,1400,900,500,3000,0.710843373493976,1.3502622842788703,0,0,0,0,0,5900,8300,30300,486316,17500,281063,419900,382500,16.08,16.06,16.07,16.1,16.0,47800,767379,62,1.09777777777778,16.1656737589,16.1341176471,16.0494720169
2018-06-15 09:30:35,<NIL>,SH600637,东方明珠,43266.3962384259,16.07,16.07,16.07,16.07,16.07,0,0,0,16.07,0,0,16.08,16.07,16.06,16.05,16.03,16.09,16.1,16.12,16.14,16.16,1800,900,2500,600,400,3700,1400,900,500,3000,0.6526315789473679,1.3502622842788703,0,0,0,0,0,6200,9500,30300,486316,17500,281063,426100,392000,16.08,16.06,16.07,16.1,16.0,47800,767379,62,1.08698979591837,16.1660645161,16.1340594059,16.048996991
2018-06-15 09:30:41,<NIL>,SH600637,东方明珠,43266.396307870404,16.07,16.07,16.07,16.07,16.07,0,0,0,16.07,0,0,16.08,16.07,16.06,16.03,16.02,16.09,16.1,16.12,16.14,16.16,1800,900,2500,400,1500,3700,1400,900,500,3000,0.747368421052632,1.3502622842788703,0,0,0,0,0,7100,9500,30300,486316,17500,281063,433200,401500,16.08,16.06,16.07,16.1,16.0,47800,767379,62,1.07895392278954,16.1665217391,16.1340594059,16.051138245
2018-06-15 09:30:45,<NIL>,SH600637,东方明珠,43266.396354166696,16.07,16.07,16.07,16.07,16.07,0,0,0,16.07,0,0,16.08,16.07,16.06,16.03,16.02,16.09,16.1,16.12,16.14,16.16,1800,900,2500,400,1500,3900,1400,900,500,3000,0.731958762886598,1.3502622842788703,0,0,0,0,0,7100,9700,30300,486316,17500,281063,440300,411200,16.08,16.06,16.07,16.1,16.0,47800,767379,62,1.07076848249027,16.1663461538,16.1329069767,16.0515571914
2018-06-15 09:30:48,<NIL>,SH600637,东方明珠,43266.396388888905,16.09,16.09,16.09,16.09,16.09,2100,33789,1,16.07,0,0,16.08,16.07,16.06,16.03,16.02,16.09,16.1,16.12,16.14,16.16,1800,900,2500,400,1500,1800,1400,900,500,3000,0.934210526315789,1.40958344936371,1,2100,33789,0,0,7100,7600,32400,520105,17500,281063,447400,418800,16.08,16.06,16.09,16.1,16.0,49900,801168,63,1.06829035339064,16.1670714286,16.1313761468,16.0493153811
2018-06-15 09:30:50,<NIL>,SH600637,东方明珠,43266.396412037,16.09,16.09,16.09,16.09,16.09,600,9654,2,16.09,0,0,16.08,16.07,16.06,16.03,16.02,16.09,16.1,16.12,16.14,16.16,1800,900,2500,400,1500,1500,1400,900,500,3000,0.972602739726027,1.42653226852417,1,600,9654,0,0,7100,7300,33000,529759,17500,281063,454500,426100,16.08,16.06,16.09,16.1,16.0,50500,810822,65,1.06665102088712,16.1644594595,16.1311111111,16.0485263158
2018-06-15 09:30:52,<NIL>,SH600637,东方明珠,43266.3964351852,16.09,16.09,16.09,16.09,16.09,1500,24135,3,16.09,0,0,16.09,16.08,16.07,16.06,16.03,16.1,16.12,16.14,16.16,16.17,3500,1800,1400,2500,400,1800,900,500,3000,2600,1.09090909090909,1.46890461444855,1,1500,24135,0,0,9600,8800,34500,553894,17500,281063,464100,434900,16.08,16.06,16.09,16.1,16.0,52000,834957,68,1.0671418716946401,16.1635371179,16.1310222162,16.0475
2018-06-15 09:30:55,<NIL>,SH600637,东方明珠,43266.396469907406,16.09,16.09,16.09,16.09,16.09,0,0,0,16.09,0,0,16.09,16.08,16.07,16.06,16.03,16.1,16.12,16.14,16.16,16.17,3500,1800,1400,3000,400,1800,900,500,3000,2600,1.14772727272727,1.46890461444855,0,0,0,0,0,10100,8800,34500,553894,17500,281063,474200,443700,16.08,16.06,16.09,16.1,16.0,52000,834957,68,1.0687401397340501,16.1639512195,16.130345447,16.0441044776
2018-06-15 09:31:00,<NIL>,SH600637,东方明珠,43266.3965277778,16.1,16.1,16.1,16.1,16.1,500,8050,1,16.09,0,0,16.09,16.08,16.07,16.06,16.03,16.1,16.12,16.14,16.16,16.17,4500,1800,600,3000,400,1600,900,500,3000,2600,1.19767441860465,1.4830286502838101,1,500,8050,0,0,10300,8600,35000,561944,17500,281063,484500,452300,16.08,16.06,16.1,16.1,16.0,52500,843007,69,1.07119168693345,16.1636410256,16.130345447,16.0430327869
2018-06-15 09:31:01,<NIL>,SH600637,东方明珠,43266.3965393519,16.1,16.1,16.1,16.1,16.1,6500,104588,4,16.1,0,0,16.08,16.07,16.06,16.03,16.02,16.1,16.12,16.14,16.16,16.17,1800,1100,3000,400,1500,1300,900,500,3000,2600,0.939759036144578,0.83332085609436,1,6500,104588,0,0,7800,8300,41500,666532,17500,281063,492300,460600,16.08,16.06,16.1,16.1,16.0,59000,947595,73,1.06882327399045,16.1632972973,16.1303210479,16.0428030303
2018-06-15 09:31:04,<NIL>,SH600637,东方明珠,43266.396574074104,16.1,16.1,16.1,16.1,16.1,0,0,0,16.1,0,0,16.09,16.08,16.07,16.06,16.03,16.1,16.12,16.14,16.16,16.17,100,1800,1100,3000,400,2900,900,500,3000,2600,0.646464646464647,0.83332085609436,0,0,0,0,0,6400,9900,41500,666532,17500,281063,498700,470500,16.08,16.06,16.1,16.1,16.0,59000,947595,73,1.05993623804463,16.1629756098,16.1305013034,16.0363414634
2018-06-15 09:31:07,<NIL>,SH600637,东方明珠,43266.3966087963,16.1,16.1,16.1,16.1,16.1,1500,24150,5,16.1,0,0,16.09,16.08,16.07,16.06,16.03,16.1,16.12,16.14,16.16,16.17,100,1800,1100,3000,400,1400,900,500,3000,2600,0.7619047619047621,0.854506969451904,1,1500,24150,0,0,6400,8400,43000,690682,17500,281063,505100,478900,16.08,16.06,16.1,16.1,16.0,60500,971745,78,1.05470870745458,16.1615028902,16.13,16.034296875
2018-06-15 09:31:12,<NIL>,SH600637,东方明珠,43266.3966666667,16.08,16.08,16.08,16.08,16.08,1100,17689,2,16.1,0,0,16.08,16.07,16.06,16.03,16.02,16.1,16.12,16.14,16.16,16.17,800,1100,3000,400,1500,2200,900,500,3000,2600,0.7391304347826091,0.870043456554413,2,0,0,1100,17689,6800,9200,43000,690682,18600,298752,511900,488100,16.08,16.06,16.08,16.1,16.0,61600,989434,80,1.04876049989756,16.1606962025,16.13,16.0327722772
2018-06-15 09:31:15,<NIL>,SH600637,东方明珠,43266.3967013889,16.1,16.1,16.1,16.1,16.1,2200,35420,2,16.08,0,0,16.1,16.08,16.07,16.06,16.03,16.12,16.14,16.16,16.17,16.18,7200,800,1100,3000,400,900,500,4200,2600,3000,1.11607142857143,0.90111643075943,1,2200,35420,0,0,12500,11200,45200,726102,18600,298752,524400,499300,16.08,16.06,16.1,16.1,16.0,63800,1024854,82,1.0502703785299399,16.1584482759,16.13,16.0327722772
2018-06-15 09:31:17,<NIL>,SH600637,东方明珠,43266.396724537,16.12,16.12,16.12,16.12,16.12,900,14508,1,16.1,0,0,16.12,16.1,16.09,16.08,16.07,16.14,16.16,16.17,16.18,16.19,100,7200,800,800,1100,500,4200,2600,3000,800,0.9009009009009008,0.9138281345367428,1,900,14508,0,0,10000,11100,46100,740610,18600,298752,534400,510400,16.08,16.06,16.12,16.12,16.0,64700,1039362,83,1.04702194357367,16.1571219512,16.13,16.0320588235
